continent,location,iso_code,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Asia,Nepal,NPL,2023-01-07,1001020.0,3.0,2.857,12020.0,1.0,0.143,32769.201,0.098,0.094,393.484,0.033,0.005,0.79,,,,,,,,,6969050.0,5062.0,232.031,0.169,2745.0,0.091,0.007,142.9,samples tested,60475558.0,27566723.0,24057021.0,8851814.0,33262.0,20825.0,197.97,90.24,78.75,28.98,682.0,5843.0,0.019,21.59,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586.0,,,,
Asia,North Korea,PRK,2023-01-07,1.0,0.0,0.0,6.0,0.0,0.0,0.038,0.0,0.0,0.23,0.0,0.0,,,,,,,,,,182968.0,1558.0,7.045,0.06,554.0,0.021,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
Asia,Northern Cyprus,OWID_CYN,2023-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861519.0,301673.0,313067.0,80243.0,795.0,0.0,225.04,78.8,81.78,20.96,0.0,0.0,0.0,,,,,,,,,,,,,,,,382836.0,,,,
Asia,Oman,OMN,2023-01-07,399154.0,0.0,0.0,4628.0,0.0,0.0,87221.992,0.0,0.0,1011.297,0.0,0.0,0.01,,,,,,,,,2031675.0,,449.439,,622.0,0.138,0.006,167.5,tests performed,7086050.0,3257365.0,3048826.0,779859.0,3650.0,92.0,154.84,71.18,66.62,17.04,20.0,8.0,0.0,11.11,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,4311.2,15.48,0.4,942.071105478225
Asia,Pakistan,PAK,2023-01-07,1575910.0,0.0,19.714,30638.0,0.0,0.286,6682.544,0.0,0.084,129.918,0.0,0.001,0.24,,,,,,,,,28889568.0,31201.0,124.846,0.135,11780.0,0.051,0.0166,60.3,tests performed,317080887.0,154665740.0,131368973.0,48935695.0,83417.0,30621.0,134.46,65.59,55.71,20.75,130.0,676.0,0.0,11.11,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
Asia,Palestine,PSE,2023-01-07,703228.0,0.0,0.0,5708.0,0.0,0.0,133946.251,0.0,0.0,1087.222,0.0,0.0,0.0,,,,,,,,,,3267.0,,0.636,1289.0,0.251,0.1962,5.1,tests performed,3748571.0,2012767.0,1776973.0,336967.0,0.0,106.0,71.4,38.34,33.85,6.42,20.0,33.0,0.001,11.11,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,5250076.0,4737.8,18.14,13.91,902.425031561448
Asia,Philippines,PHL,2023-01-07,4067170.0,643.0,19626.143,65464.0,10.0,11.286,35195.612,5.564,169.837,566.498,0.087,0.098,0.66,,,,,,,,,28472887.0,21192.0,250.025,0.186,19245.0,0.169,0.0093,107.8,people tested,169574232.0,78326578.0,73875746.0,21232041.0,227791.0,34695.0,146.74,67.78,63.93,18.37,300.0,7772.0,0.007,25.41,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,115559008.0,237427.8,15.0,-4.07,2054.60226865222
Asia,Qatar,QAT,2023-01-07,490493.0,57.0,152.143,685.0,0.0,0.0,181992.267,21.149,56.451,254.162,0.0,0.0,0.74,,,,,,,,,7574423.0,14144.0,2817.619,5.261,14321.0,5.327,,,tests performed,7601367.0,2850159.0,2850158.0,1901050.0,4802.0,227.0,282.04,105.75,105.75,70.54,84.0,59.0,0.002,11.11,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,2695131.0,1342.0,21.32,19.33,497.934979783914
Asia,Saudi Arabia,SAU,2023-01-07,827190.0,18.0,26.571,9529.0,1.0,1.571,22719.492,0.494,0.73,261.722,0.027,0.043,0.84,,,,,,,,,43251385.0,28668.0,1203.085,0.797,29372.0,0.817,0.0347,28.9,tests performed,68148406.0,26951666.0,25351683.0,10793985.0,113359.0,25787.0,187.18,74.03,69.63,29.65,708.0,3552.0,0.01,11.11,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,36408824.0,,,,
Asia,Singapore,SGP,2023-01-07,2207670.0,684.0,779.429,1712.0,0.0,0.143,391637.641,121.341,138.27,303.706,0.0,0.025,0.87,,,,,3.0,0.532,149.0,26.432,,24000.0,,4.401,24000.0,4.401,0.1627,6.1,samples tested,14727569.0,5160943.0,5119159.0,4440289.0,3779.0,1692.0,261.27,91.55,90.81,78.77,300.0,152.0,0.003,17.59,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,5637022.0,4676.5,7.58,17.94,829.604709720842
Asia,South Korea,KOR,2023-01-07,29520600.0,46766.0,57685.714,32590.0,34.0,53.0,569721.889,902.543,1113.284,628.959,0.656,1.023,0.95,623.0,12.023,2130.0,41.107,463.0,8.935,1280.0,24.703,100269452.0,145445.0,1934.578,2.806,116619.0,2.25,0.0687,14.5,people tested,129647782.0,44867730.0,44448311.0,41325954.0,1775.0,1675.0,250.21,86.59,85.78,79.76,32.0,190.0,0.0,11.11,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,51815808.0,42917.2,5.36,5.33,828.264609904375
Asia,Sri Lanka,LKA,2023-01-07,671927.0,4.0,5.143,16818.0,0.0,0.143,30776.951,0.183,0.236,770.332,0.0,0.007,0.89,,,,,,,,,7691045.0,1111.0,353.231,0.051,1204.0,0.055,0.0083,120.4,tests performed,40116590.0,17143761.0,14752827.0,8220002.0,14667.0,9386.0,183.75,78.53,67.57,37.65,430.0,908.0,0.004,19.44,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,21832150.0,,,,
Asia,Syria,SYR,2023-01-07,57423.0,0.0,0.0,3163.0,0.0,0.0,2595.361,0.0,0.0,142.959,0.0,0.0,0.02,,,,,,,,,175957.0,,8.251,,221.0,0.01,0.0052,193.4,tests performed,4940436.0,3179030.0,2226318.0,75881.0,30134.0,2505.0,22.33,14.37,10.06,0.34,113.0,1972.0,0.009,11.11,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,22125242.0,,,,
